rank,name,model,category,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,match_score,is_same_sku,is_accessory,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
24,SIROCA　ハンディファン ストーングレー　SF-H631HS,SF-H631HS,扇風機本体,2530,1362,,0,,0,,0.5,False,False,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-kojima/4589919844296.html
1,サンコネクション 準固体バッテリー搭載 ハンディファン ChibiGEAR ホワイト SUNMHF-01 【864】,SUNMHF-01,扇風機本体,4378,3006,,0,,0,,0.4,False,True,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-sofmap/4573616740234.html
25,NAKAGAMI　大風量ハンディファン 充電式 台座付 ベージュ　YNG-LHF200-BE,YNG-LHF200-BE,扇風機本体,2178,1048,,0,,0,,0.6,False,True,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-kojima/4580441488804.html
26,ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-H,YM-7020HS-H,扇風機本体,3980,2652,,0,,0,,0.67,True,False,600,,,False,low,0,https://store.shopping.yahoo.co.jp/y-kojima/4979966573971.html
2,SIROCA ハンディファン  ストーングレー SF-H631HS,SF-H631HS,扇風機本体,2530,1362,,0,,0,,0.5,False,False,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-sofmap/4589919844296.html
3,多摩電子工業 折り畳みハンディファン　オリオンビールコラボモデル ホワイト,,扇風機本体,2850,1646,,0,,0,,0,True,False,600,,,False,low,0,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317742.html
4,NAKAGAMI 充電式大風量ハンディファン  ベージュ YNG-LHF200-BE,YNG-LHF200-BE,扇風機本体,2178,1048,,0,,0,,0.6,False,True,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-sofmap/4580441488804.html
5,多摩電子工業 折り畳みハンディファン オリオンビールコラボモデル グレー,,扇風機本体,2850,1646,,0,,0,,0,True,False,600,,,False,low,0,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317759.html
7,ファンマックスジャパン ハンディクリーナー CellCube CCVC01-BG コードレス,CCVC01-BG,ハンディークリーナー,10610,8553,,0,,0,,0.67,False,True,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-sofmap/4582586410597.html
27,SIROCA　ハンディファン サーモンピンク　SF-H631PL,SF-H631PL,扇風機本体,2530,1362,,0,,0,,0.5,False,False,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-kojima/4589919844272.html
28,SIROCA　ハンディファン ティール　SF-H631AG,SF-H631AG,扇風機本体,2530,1362,,0,,0,,0.5,False,False,600,,,False,sku_mismatch,0,https://store.shopping.yahoo.co.jp/y-kojima/4589919844265.html
