rank,name,category,seller,yahoo_price,coupon_discount,point_return,net_cost,mercari_median,mercari_min,profit_yen,profit_margin_pct,is_profitable,yahoo_url
75,ソニー　SONY　お手元TVスピーカー [防滴]　SRS-LSR200,センタースピーカー,コジマYahoo!店,22553,1000,2155,19182,11500,5000,-9432,-82.02,False,https://store.shopping.yahoo.co.jp/y-kojima/4548736109599.html
60,ソニー　SONY　ヘッドホン　MDR-CD900ST,ヘッドホン本体,コジマYahoo!店,24860,1000,2386,21235,10950,1980,-11980,-109.41,False,https://store.shopping.yahoo.co.jp/y-kojima/4901780586080.html
61,ジャノメ　JN508DX-2B　JN508DX-2B,電動ミシン,コジマYahoo!店,20800,1000,1980,17622,12500,10000,-6972,-55.78,False,https://store.shopping.yahoo.co.jp/y-kojima/4933621351663.html
62,シンガー　電動ミシン　SN20A,電動ミシン,コジマYahoo!店,21130,1000,2013,17916,8600,4200,-10776,-125.3,False,https://store.shopping.yahoo.co.jp/y-kojima/4932781051857.html
63,パナソニック　Panasonic　高周波治療器 「コリコラン」　EW-CRA518-K,低周波治療器,コジマYahoo!店,28200,1000,2720,24208,17718,3500,-8862,-50.02,False,https://store.shopping.yahoo.co.jp/y-kojima/4549980094044.html
64,BOSE　テレビスピーカー Bose TV Speaker [ Bluetooth 対応 ] ブラック　Bose TV Speaker,ホームシアターシステム,コジマYahoo!店,30481,1000,2948,26238,15100,900,-13248,-87.74,False,https://store.shopping.yahoo.co.jp/y-kojima/4969929254795.html
76,アイホン　モニターワイヤレステレビドアホン スノーホワイト　KR-77,インターホン,コジマYahoo!店,29089,1000,2809,24999,3196,800,-22723,-710.97,False,https://store.shopping.yahoo.co.jp/y-kojima/4968249287940.html
77,パナソニック　Panasonic　ミニコンポ シルバー　SC-PMX90S,ミニコンポ,コジマYahoo!店,28800,1000,2780,24742,17500,4900,-9592,-54.81,False,https://store.shopping.yahoo.co.jp/y-kojima/4549980217375.html
65,マキタ　スティッククリーナー サイクロン式 コードレス オリーブ【バッテリ・充電器 別売】　CL286FD-ZO,掃除機,コジマYahoo!店,23453,1000,2245,19983,16150,15000,-6048,-37.45,False,https://store.shopping.yahoo.co.jp/y-kojima/0088381781602.html
89,IOデータ　Mini LED採用 200Hzゲーミングモニター KH-GDQ271JLAQ GigaCrysta ［ 27型 / WQHD(2560×1440) / ワイド ］ ブラック　,パソコン用ディスプレイ、モニター,コジマYahoo!店,52130,1000,5113,45506,10000,990,-37106,-371.06,False,https://store.shopping.yahoo.co.jp/y-kojima/4957180182469.html
