name,model,category,yahoo_price,net_cost,mercari_median_v2,mercari_count_v2,mercari_note,yahooAuction_median_v2,yahooAuction_count_v2,conservative_v2,shipping,profit_v2,margin_v2,profit_small_v2,is_profitable_v2,confidence,total_count,yahoo_url,old_conservative,old_profit
SIROCA　ハンディファン ストーングレー　SF-H631HS,SF-H631HS,扇風機本体,2530,1362,,0,no_prices,2530,2,2530,600,315,12.45,615,False,low,2,https://store.shopping.yahoo.co.jp/y-kojima/4589919844296.html,2530,315
サンコネクション 準固体バッテリー搭載 ハンディファン ChibiGEAR ホワイト SUNMHF-01 【864】,SUNMHF-01,扇風機本体,4378,3006,,0,no_prices,4378,2,4378,600,334,7.63,634,False,low,2,https://store.shopping.yahoo.co.jp/y-sofmap/4573616740234.html,4378,334
NAKAGAMI　大風量ハンディファン 充電式 台座付 ベージュ　YNG-LHF200-BE,YNG-LHF200-BE,扇風機本体,2178,1048,,0,no_prices,2284,6,2284,600,408,17.85,708,True,high,6,https://store.shopping.yahoo.co.jp/y-kojima/4580441488804.html,2284,408
ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-H,YM-7020HS-H,扇風機本体,3980,2652,,0,no_prices,3980,1,3980,600,330,8.29,630,False,low,1,https://store.shopping.yahoo.co.jp/y-kojima/4979966573971.html,3980,330
SIROCA ハンディファン  ストーングレー SF-H631HS,SF-H631HS,扇風機本体,2530,1362,,0,no_prices,2530,2,2530,600,315,12.45,615,False,low,2,https://store.shopping.yahoo.co.jp/y-sofmap/4589919844296.html,2530,315
多摩電子工業 折り畳みハンディファン　オリオンビールコラボモデル ホワイト,,扇風機本体,2850,1646,,0,no_model,,0,,600,,,,False,none,0,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317742.html,3839,1209
NAKAGAMI 充電式大風量ハンディファン  ベージュ YNG-LHF200-BE,YNG-LHF200-BE,扇風機本体,2178,1048,,0,no_prices,2284,6,2284,600,408,17.85,708,True,high,6,https://store.shopping.yahoo.co.jp/y-sofmap/4580441488804.html,2284,408
多摩電子工業 折り畳みハンディファン オリオンビールコラボモデル グレー,,扇風機本体,2850,1646,,0,no_model,,0,,600,,,,False,none,0,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317759.html,3839,1209
ファンマックスジャパン ハンディクリーナー CellCube CCVC01-BG コードレス,CCVC01-BG,ハンディークリーナー,10610,8553,,0,no_prices,8780,5,8780,600,-1251,-14.25,-951,False,high,5,https://store.shopping.yahoo.co.jp/y-sofmap/4582586410597.html,8780,-1251
SIROCA　ハンディファン サーモンピンク　SF-H631PL,SF-H631PL,扇風機本体,2530,1362,,0,no_prices,2508,3,2508,600,295,11.77,595,True,medium,3,https://store.shopping.yahoo.co.jp/y-kojima/4589919844272.html,2508,295
SIROCA　ハンディファン ティール　SF-H631AG,SF-H631AG,扇風機本体,2530,1362,,0,no_prices,2530,2,2530,600,315,12.45,615,False,low,2,https://store.shopping.yahoo.co.jp/y-kojima/4589919844265.html,2530,315
