rank,retailer,query,name,model,category,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
271,ノジマ,テレビ 4K,ファイヤースティック Amazon Fire TV Stick Fire TV Stick HD ファイヤースティックTV Alexa対応音声認識リモコン,AMAZON,AV機器用リモコン,6980,5322,4000,120,4295,16,4000,800,-2522,-63.05,False,high,136,https://store.shopping.yahoo.co.jp/daikichidepart/b0bqvpl3q5.html
283,ノジマ,冷蔵庫,ギフト カニ かに 蟹 ズワイガニ ポーション 刺身 生 カット生ずわい蟹 特盛 1.8kg 総重量 2.4kg 前後 お刺身OK 贈り物 誕生日 FF ポイント利用 爆買,,ズワイガニ,11940,9737,,0,,0,,800,,,False,none,0,https://store.shopping.yahoo.co.jp/kouragumi/100007.html
295,ノジマ,洗濯機 ドラム,柔軟剤 ランドリン クラシックフローラル 詰め替え 大容量 3倍サイズ 1440ml 3個セット | 送料無料 詰替用 つめかえ用 液体 無添加 オーガニック 部屋干し,1440ML,柔軟剤,5214,4045,2550,120,2690,20,2550,800,-2550,-100.0,False,high,140,https://store.shopping.yahoo.co.jp/naturelab-store/4582469501695-3.html
94,ビックカメラ,エアコン 6畳,（標準取付工事費込）ORIGINALBASIC　エアコン おもに6畳用 (解凍洗浄と上下左右スイング搭載)　OB-HA22BK1-W ホワイト,OB-HA22BK1-W,家庭用エアコン,69300,60787,33800,10,29000,18,29000,3000,-37687,-129.96,False,high,28,https://store.shopping.yahoo.co.jp/y-kojima/2919200090286.html
307,ノジマ,掃除機 コードレス,9/6までP最大11倍 掃除機 コードレス スティック  サイクロン クリーナー 充電式 22.2V 吸引力の強い掃除機 Orage C33 ギフトにも。 ポイント利用,ORAGE,掃除機,13980,12201,6050,120,2500,14,2500,800,-10751,-430.04,False,high,134,https://store.shopping.yahoo.co.jp/tvfusion/cleaner-cordless-c33.html
319,ノジマ,電子レンジ,カニ かに 蟹 ズワイガニ 小型 ズワイガニ 姿 メガ盛 ボイル 3kg ずわいがに姿 7尾 FF ポイント利用 爆買,,ズワイガニ,19999,16909,,0,,0,,800,,,False,none,0,https://store.shopping.yahoo.co.jp/kouragumi/100012a.html
331,ノジマ,炊飯器,炊飯器 5.5合 一人暮らし 圧力IH アイリスオーヤマ アイリス 5合炊き 圧力炊飯器 圧力IH炊飯器 IH炊飯器 IH 炊飯ジャー 銘柄炊き 早炊き ブラック RC-PDA50,RC-PDA50,炊飯器本体,21800,18512,7950,49,10730,20,7950,800,-12157,-152.92,False,high,69,https://store.shopping.yahoo.co.jp/insdenki-y/562099.html
343,ノジマ,パソコン ノート,福袋 2026 ノートパソコン 新品パソコン AMD Ryzen5 7430U CPU 15型 メモリ 16GB SSD 256GB Windows11 Office 搭載 オフィス付き Wifi TypeC,WINDOWS11,Windowsノート,88800,78142,25950,120,16500,15,16500,800,-64092,-388.44,False,high,135,https://store.shopping.yahoo.co.jp/oa-plaza/noto-hp-6730b.html
355,ノジマ,タブレット,【ポイント10%】 大人のカロリミット 機能性表示食品 90回分 ダイエットサプリ サプリメント ブラックジンジャー 健康食品 ファンケル FANCL 公式,FANCL,ダイエットサプリ,7982,6214,3000,120,2800,17,2800,800,-4494,-160.5,False,high,137,https://store.shopping.yahoo.co.jp/fancl-y/5298-12.html
367,ノジマ,カメラ ミラーレス,【OUTLET】Manfrotto マンフロット Elementトラベル三脚 スモール レッド MKELES5RD-BH 一眼レフ用 コンパクト ビデオカメラ カメラ 全伸高143cm アウトレット品,MKELES5RD-BH,カメラ用三脚,8980,7102,6500,21,13524,16,6500,600,-1852,-28.49,False,high,37,https://store.shopping.yahoo.co.jp/vitec/8024221667912-56e-ol.html
379,ノジマ,ヘッドホン,【6カラー】電子ピアノ 88鍵盤 ハンマーアクション鍵盤 ピアノタッチ 木製スタンド 3本ペダル ヘッドホン3か所 日本語表示 【演奏動画あり】,,電子ピアノ,49800,43432,,0,,0,,800,,,False,none,0,https://store.shopping.yahoo.co.jp/hayarishop/carina-lup0088.html
391,ノジマ,ゲーム Switch,マイクロSDカード 128GB SDカード micro ニンテンドー スイッチ Nintendo Switch メモリー SDXC UHS-I U3 Class10 日本製 4K おすすめ,UHS-I,MicroSDメモリーカード,5481,3988,2350,120,1980,19,1980,800,-3006,-151.82,False,high,139,https://store.shopping.yahoo.co.jp/albert0051/mc-s.html
403,ノジマ,スマートウォッチ,HUAWEI Band 11 Aluminum Edition スマートウォッチ 8.99mm/17g薄型軽量 アルミニウムケース 睡眠管理 1500nits高輝度 1.62大画面 14日持続バッテリー LINE通知,ALUMINUM,スマートウォッチ本体,7800,6052,7740,120,10600,18,7740,800,114,1.47,False,high,138,https://store.shopping.yahoo.co.jp/huaweistore/55020anj.html
415,ノジマ,美容家電 ドライヤー,ドライヤー 速乾 大風量 サロニア SALONIA 公式店 ヘアドライヤー ヘアードライヤー 1200w 大風量 冷風 高速 スピーディー イオンドライヤー,SALONIA,ヘアドライヤー,5918,4377,5250,120,3825,14,3825,800,-1734,-45.35,False,high,134,https://store.shopping.yahoo.co.jp/queensshop/sal004.html
427,ノジマ,調理家電,特典付［ recolte 自動調理ポット ］レコルト 豆乳メーカー 全自動 スープメーカー ミキサー ブレンダー 氷も砕ける 自動 保温 スープ 離乳食 豆乳マシン RSY-2,RSY-2,ジューサー、ミキサー、フードプロセッサー,13200,11346,1690,120,10500,18,1690,800,-10625,-628.7,False,high,138,https://store.shopping.yahoo.co.jp/roomy/win2006-nx014-1.html
439,ノジマ,SONY ブラビア KJ-,壁掛けテレビ金具 金物 TVセッターチルト EI400 Sサイズ,EI400,テレビ用壁掛け金具,5610,4103,4500,32,14682,19,4500,1500,-1553,-34.51,False,high,51,https://store.shopping.yahoo.co.jp/kabekake-shop/tvstiei400s.html
