rank,retailer,query,name,model,category,yahoo_price,net_cost,has_discount,discount_rate,is_clearance,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
58,ノジマ,アウトレット,セール 明太子 無着色 辛子明太子 訳あり 切れ子 1kg  送料無料 めんたいこ(訳 ワケ わけあり）海鮮 グルメ bara-01,BARA-01,明太子,3680,2830,True,2.6,True,1201,120,3330,4,1201,800,-2549,-212.25,False,high,124,https://store.shopping.yahoo.co.jp/nakagawa-k-ichiba/bara2011-0602.html
59,ヨドバシカメラ,アウトレット,セール 明太子 無着色 辛子明太子 訳あり 切れ子 1kg  送料無料 めんたいこ(訳 ワケ わけあり）海鮮 グルメ bara-01,BARA-01,明太子,3680,2830,True,2.6,True,1201,120,3330,4,1201,800,-2549,-212.25,False,high,124,https://store.shopping.yahoo.co.jp/nakagawa-k-ichiba/bara2011-0602.html
60,ケーズデンキ,アウトレット,セール 明太子 無着色 辛子明太子 訳あり 切れ子 1kg  送料無料 めんたいこ(訳 ワケ わけあり）海鮮 グルメ bara-01,BARA-01,明太子,3680,2830,True,2.6,True,1201,120,3330,4,1201,800,-2549,-212.25,False,high,124,https://store.shopping.yahoo.co.jp/nakagawa-k-ichiba/bara2011-0602.html
70,ノジマ,アウトレット,セール 明太子 華ふくいち 徳用上切 訳あり 博多 辛子明太子1kg 送料無料 hanajyo プレゼント 贈答 ギフト 敬老の日,HANAJYO,明太子,4380,3453,True,2.2,True,3300,1,4430,2,3300,800,-1283,-38.88,False,medium,3,https://store.shopping.yahoo.co.jp/nakagawa-k-ichiba/hana2015-tokukire0619.html
71,ヨドバシカメラ,アウトレット,セール 明太子 華ふくいち 徳用上切 訳あり 博多 辛子明太子1kg 送料無料 hanajyo プレゼント 贈答 ギフト 敬老の日,HANAJYO,明太子,4380,3453,True,2.2,True,3300,1,4430,2,3300,800,-1283,-38.88,False,medium,3,https://store.shopping.yahoo.co.jp/nakagawa-k-ichiba/hana2015-tokukire0619.html
72,ケーズデンキ,アウトレット,セール 明太子 華ふくいち 徳用上切 訳あり 博多 辛子明太子1kg 送料無料 hanajyo プレゼント 贈答 ギフト 敬老の日,HANAJYO,明太子,4380,3453,True,2.2,True,3300,1,4430,2,3300,800,-1283,-38.88,False,medium,3,https://store.shopping.yahoo.co.jp/nakagawa-k-ichiba/hana2015-tokukire0619.html
1,ビックカメラ,アウトレット,【アウトレット品】 DALI ウーファー サテンブラック SUBE12N/SB [1本]【外箱不良品】 [振込不可],SUBE12N,サブウーハー,101980,90317,False,0,True,75000,1,120698,10,75000,800,-23617,-31.49,False,high,11,https://store.shopping.yahoo.co.jp/y-sofmap/2000398435024.html
2,ビックカメラ,アウトレット,【アウトレット品】 ダイキン エアコン S284ATRS-W ホワイト [おもに10畳用 /100V] 【外装不良品】,S284ATRS-W,家庭用エアコン,209980,186437,False,0,True,,0,7818,4,7818,3000,-182401,-2333.09,False,medium,4,https://store.shopping.yahoo.co.jp/y-sofmap/80041658.html
3,ビックカメラ,アウトレット,【アウトレット品】 ダイキン エアコン S364ATRS-W ホワイト [おもに12畳用 /100V] 【外装不良品】,S364ATRS-W,家庭用エアコン,229980,204237,False,0,True,,0,7818,4,7818,3000,-200201,-2560.77,False,medium,4,https://store.shopping.yahoo.co.jp/y-sofmap/80041659.html
4,ビックカメラ,アウトレット,【アウトレット品】 ダイキン エアコン S224ATRS-W ホワイト [おもに6畳用 /100V] 【外装不良品】,S224ATRS-W,家庭用エアコン,199980,177537,False,0,True,,0,7818,4,7818,3000,-173501,-2219.25,False,medium,4,https://store.shopping.yahoo.co.jp/y-sofmap/80041656.html
5,ビックカメラ,アウトレット,【アウトレット品】 ダイキン エアコン S254ATRS-W ホワイト [おもに8畳用 /100V] 【外装不良品】,S254ATRS-W,家庭用エアコン,199980,177537,False,0,True,,0,7818,4,7818,3000,-173501,-2219.25,False,medium,4,https://store.shopping.yahoo.co.jp/y-sofmap/80041657.html
