rank,name,model,category,seller,yahoo_price,net_cost,has_discount,discount_rate,mercapi_median,mercapi_count,mercapi_total_found,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,profit_small,is_profitable,confidence,total_count,yahoo_url
1,サンコネクション 準固体バッテリー搭載 ハンディファン ChibiGEAR ホワイト SUNMHF-01 【864】,SUNMHF-01,扇風機本体,ソフマップ Yahoo!店,4378,3006,False,0,,0,0,4378,2,4378,600,334,7.63,634,False,low,2,https://store.shopping.yahoo.co.jp/y-sofmap/4573616740234.html
33,ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-H,YM-7020HS-H,扇風機本体,コジマYahoo!店,3980,2652,False,0,,0,0,3980,1,3980,600,330,8.29,630,False,low,1,https://store.shopping.yahoo.co.jp/y-kojima/4979966573971.html
2,多摩電子工業 折り畳みハンディファン オリオンビールコラボモデル グレー,,扇風機本体,ソフマップ Yahoo!店,2850,1646,False,0,,0,0,,0,,600,,,,False,none,0,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317759.html
4,ファンマックスジャパン ハンディクリーナー CellCube CCVC01-BG コードレス,CCVC01-BG,ハンディークリーナー,ソフマップ Yahoo!店,10610,8553,False,0,,0,0,8780,5,8780,600,-1251,-14.25,-951,False,high,5,https://store.shopping.yahoo.co.jp/y-sofmap/4582586410597.html
34,SIROCA　ハンディファン ティール　SF-H631AG,SF-H631AG,扇風機本体,コジマYahoo!店,2530,1362,False,0,,0,0,2530,2,2530,600,315,12.45,615,False,low,2,https://store.shopping.yahoo.co.jp/y-kojima/4589919844265.html
35,SIROCA　冷却プレート付きハンディファン ミルクティー　SF-H751-CH,SF-H751-CH,扇風機本体,コジマYahoo!店,2907,1697,False,0,,0,0,2934,2,2934,600,344,11.71,644,False,low,2,https://store.shopping.yahoo.co.jp/y-kojima/4589919850174.html
36,コンピューケースジャパン　USBハンディファン agreen マーブルグリーン　JUF-KF07-MGR,JUF-KF07-MGR,扇風機本体,コジマYahoo!店,2980,1762,False,0,,0,0,2980,1,2980,600,320,10.74,620,False,low,1,https://store.shopping.yahoo.co.jp/y-kojima/4541995040535.html
37,ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-A,YM-7020HS-A,扇風機本体,コジマYahoo!店,3980,2652,False,0,2450,2,2,3980,1,2450,600,-1047,-42.73,-747,False,medium,3,https://store.shopping.yahoo.co.jp/y-kojima/4979966573988.html
38,サンコネクション　準固体バッテリー搭載 ハンディファン HANDYFAN ChibiGEAR　SUNMHF-01,SUNMHF-01,扇風機本体,コジマYahoo!店,4378,3006,False,0,,0,0,4378,2,4378,600,334,7.63,634,False,low,2,https://store.shopping.yahoo.co.jp/y-kojima/4573616740234.html
41,ヤマゼン　サーキュレーター扇風機 DCモーター搭載 (省エネタイプ) 23cm 7枚 PD仕様 リモコン付き グレージュ　RLX-MP023-C,RLX-MP023-C,扇風機本体,コジマYahoo!店,8400,6586,False,0,8682,4,6,7500,12,7500,600,-436,-5.81,-436,False,high,16,https://store.shopping.yahoo.co.jp/y-kojima/4550533145441.html
