rank,retailer,name,model,category,seller,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
41,ノジマ,【売れ筋NO.1】 ハンディファン 携帯扇風機 扇風機 小型 -28℃ 冷却プレート 手持ち扇風機 90°折り畳み 100段階調整 6800mAh大容量 LED残量表示 24H連続 爆買,6800MAH,扇風機本体,Belando,2980,1762,2368,120,2980,20,2368,600,-231,-9.75,False,high,140,https://store.shopping.yahoo.co.jp/belando/fs-f25.html
48,ノジマ,【売れ筋NO.1】 ハンディファン 携帯扇風機 扇風機 小型 -28℃ 冷却プレート 手持ち扇風機 90°折り畳み 100段階調整 6800mAh大容量 LED残量表示 24H連続 爆買,6800MAH,扇風機本体,Belando,2980,1762,2368,120,1900,20,1900,600,-652,-34.32,False,high,140,https://store.shopping.yahoo.co.jp/belando/fs-f25.html
53,ヨドバシカメラ,【売れ筋NO.1】 ハンディファン 携帯扇風機 扇風機 小型 -28℃ 冷却プレート 手持ち扇風機 90°折り畳み 100段階調整 6800mAh大容量 LED残量表示 24H連続 爆買,6800MAH,扇風機本体,Belando,2980,1762,2368,120,1900,20,1900,600,-652,-34.32,False,high,140,https://store.shopping.yahoo.co.jp/belando/fs-f25.html
60,ヨドバシカメラ,【売れ筋NO.1】 ハンディファン 携帯扇風機 扇風機 小型 -28℃ 冷却プレート 手持ち扇風機 90°折り畳み 100段階調整 6800mAh大容量 LED残量表示 24H連続 爆買,6800MAH,扇風機本体,Belando,2980,1762,2368,120,1900,20,1900,600,-652,-34.32,False,high,140,https://store.shopping.yahoo.co.jp/belando/fs-f25.html
42,ノジマ,【新色追加・2点購入で1点2780円】ハンディファン 手持ち扇風機 -25℃冷却 100段階風量 90°折り畳み 卓上扇風機 小型  携帯扇風機 冷却プレート付き,2780,扇風機本体,衆誠社,4780,3364,5790,120,7000,3,5790,600,1247,21.54,True,high,123,https://store.shopping.yahoo.co.jp/syuseisya/bh28f.html
49,ノジマ,【新色追加・2点購入で1点2780円】ハンディファン 手持ち扇風機 -25℃冷却 100段階風量 90°折り畳み 卓上扇風機 小型  携帯扇風機 冷却プレート付き,2780,扇風機本体,衆誠社,4780,3364,5790,120,7000,3,5790,600,1247,21.54,True,high,123,https://store.shopping.yahoo.co.jp/syuseisya/bh28f.html
54,ヨドバシカメラ,【新色追加・2点購入で1点2780円】ハンディファン 手持ち扇風機 -25℃冷却 100段階風量 90°折り畳み 卓上扇風機 小型  携帯扇風機 冷却プレート付き,2780,扇風機本体,衆誠社,4780,3364,5790,120,7000,3,5790,600,1247,21.54,True,high,123,https://store.shopping.yahoo.co.jp/syuseisya/bh28f.html
61,ヨドバシカメラ,【新色追加・2点購入で1点2780円】ハンディファン 手持ち扇風機 -25℃冷却 100段階風量 90°折り畳み 卓上扇風機 小型  携帯扇風機 冷却プレート付き,2780,扇風機本体,衆誠社,4780,3364,5790,120,7000,3,5790,600,1247,21.54,True,high,123,https://store.shopping.yahoo.co.jp/syuseisya/bh28f.html
44,ノジマ,ハンディクリーナー 掃除機 コードレス サイクロン 強力 吸引力 車 掃除機 ハンディ 軽い コードレス掃除機 ハンドクリーナー 小型掃除機,,ハンディークリーナー,おしゃれx健康x時短家電UENO-mono,5980,4432,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/rin-spa/suiryu.html
56,ヨドバシカメラ,ハンディクリーナー 掃除機 コードレス サイクロン 強力 吸引力 車 掃除機 ハンディ 軽い コードレス掃除機 ハンドクリーナー 小型掃除機,,ハンディークリーナー,おしゃれx健康x時短家電UENO-mono,5980,4432,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/rin-spa/suiryu.html
45,ノジマ,テレビ紹介 扇風機 高速 冷却 ハンディファン PROMAX 卓上 USB 小型 携帯扇風機 クーラー 冷却プレート 冷却モード ハンディ扇風機 手持ち 長時間 cicibella,CICIBELLA,扇風機本体,KOISAMA,2980,1762,1495,120,900,4,900,600,-1552,-172.44,False,high,124,https://store.shopping.yahoo.co.jp/bobattapioca/e2-2.html
57,ヨドバシカメラ,テレビ紹介 扇風機 高速 冷却 ハンディファン PROMAX 卓上 USB 小型 携帯扇風機 クーラー 冷却プレート 冷却モード ハンディ扇風機 手持ち 長時間 cicibella,CICIBELLA,扇風機本体,KOISAMA,2980,1762,1495,120,900,4,900,600,-1552,-172.44,False,high,124,https://store.shopping.yahoo.co.jp/bobattapioca/e2-2.html
46,ノジマ,「クーポンで2480円」「雑誌掲載」ハンディファン 冷却プレート -28℃ 扇風機 小型 携帯扇風機 首掛け 卓上 手持ち扇風機 1-199風量調整 6000mAh 140°折り畳み,1-199,扇風機本体,HAGOOGI公式ショップ,3980,2652,4116,120,5586,11,4116,600,452,10.99,True,high,131,https://store.shopping.yahoo.co.jp/hagoogishop/k12.html
58,ヨドバシカメラ,「クーポンで2480円」「雑誌掲載」ハンディファン 冷却プレート -28℃ 扇風機 小型 携帯扇風機 首掛け 卓上 手持ち扇風機 1-199風量調整 6000mAh 140°折り畳み,1-199,扇風機本体,HAGOOGI公式ショップ,3980,2652,4116,120,5586,11,4116,600,452,10.99,True,high,131,https://store.shopping.yahoo.co.jp/hagoogishop/k12.html
25,ヤマダデンキ,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH08 モバイルハンディファン USB-C ライトグレー,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338883016.html
31,ヤマダデンキ,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH08 モバイルハンディファン USB-C ライトグレー,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338883016.html
65,ヤマダウェブコム,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH08 モバイルハンディファン USB-C ライトグレー,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338883016.html
71,ヤマダウェブコム,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH08 モバイルハンディファン USB-C ライトグレー,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338883016.html
26,ヤマダデンキ,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH04 モバイルハンディファン USB-C ミズイロ,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338881012.html
34,ヤマダデンキ,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH04 モバイルハンディファン USB-C ミズイロ,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338881012.html
66,ヤマダウェブコム,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH04 モバイルハンディファン USB-C ミズイロ,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338881012.html
74,ヤマダウェブコム,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH04 モバイルハンディファン USB-C ミズイロ,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1320,120,2495,2,1320,600,-640,-48.48,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338881012.html
27,ヤマダデンキ,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH82 モバイルハンディファン USB-C ダークグレー,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338884013.html
67,ヤマダウェブコム,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH82 モバイルハンディファン USB-C ダークグレー,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338884013.html
28,ヤマダデンキ,【アウトレット超特価】リズム(RHYTHM) 9ZF040RH05 モバイルハンディファン USB-C グリーン,USB-C,扇風機本体,ヤマダデンキ Yahoo!店,2380,1228,1205,120,2495,2,1205,600,-744,-61.7,False,high,122,https://store.shopping.yahoo.co.jp/yamada-denki/338882019.html
