rank,name,model,category,seller,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
17,【新色追加・2点購入で1点2780円】ハンディファン 手持ち扇風機 -25℃冷却 100段階風量 90°折り畳み 卓上扇風機 小型  携帯扇風機 冷却プレート付き,2780,扇風機本体,衆誠社(Yahoo代理),4780,3895,4390,120,7467,13,4390,600,-544,-12.39,False,high,133,https://store.shopping.yahoo.co.jp/syuseisya/bh28f.html
19,扇風機 小型 ハンディファン 卓上 手持ち 199段階風量調節 静音  電池残量表示 おしゃれ 携帯扇風機 ハンディ扇風機 USB アウトドア 屋外 熱中症 暑さ対策 2026,2026,扇風機本体,センス(Yahoo代理),3980,3167,850,120,2479,19,850,600,-3002,-353.18,False,high,139,https://store.shopping.yahoo.co.jp/senseshopping/atusa01.html
20,"クーポンで1,490円〜 ハンディファン 冷却プレート ハンディーファン 首掛け 5way 離乳食 冷ます 卓上扇風機 首かけ扇風機 小型扇風機 携帯扇風機 首掛け扇風機",5WAY,扇風機本体,LFF PREMIUM(Yahoo代理),2980,2257,7600,120,1500,19,1500,600,-1507,-100.47,False,high,139,https://store.shopping.yahoo.co.jp/premium-interior/lff-lafuture30c.html
21,【今使えるクーポン有】ＴＶで紹介♪ハンディファン 5色 4WAY くすみカラー 首掛け 卓上 扇風機 静音 手持ち 小型 USB 充電式 軽量 折りたたみ,4WAY,扇風機本体,atRise Yahoo!店(Yahoo代理),2480,1802,3740,120,4486,20,3740,600,964,25.78,True,high,140,https://store.shopping.yahoo.co.jp/risecreation/y0706.html
22,ネッククーラー 冷却プレート付 マスク蒸れ対策 冷感 ひんやり マイナスイオン対応 扇風機 首かけ扇風機 首掛け扇風機 ネックファン ハンディファン 軽量,,扇風機本体,TUTUYO(Yahoo代理),4980,4077,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/tutuyo/fsgbj010ba.html
4,コイズミ KPF0663LA,KPF0663LA,,ノジマオンライン,2480,1802,,0,2480,2,2480,600,-170,-6.85,False,low,2,https://online.nojima.co.jp/commodity/1/4981747087591/
5,ユアサプライムス YM-702HS-H,YM-702HS-H,,ノジマオンライン,3980,3167,2250,2,3379,12,2250,600,-1742,-77.42,False,high,14,https://online.nojima.co.jp/commodity/1/4979966573902/
6,コイズミ KFF1167W,KFF1167W,,ノジマオンライン,2580,1893,4270,4,2489,6,2489,600,-253,-10.16,False,high,10,https://online.nojima.co.jp/commodity/1/4981747087515/
7,ユアサプライムス YPM-600HE-H,YPM-600HE-H,,ノジマオンライン,4731,3978,,0,4980,3,4980,600,-96,-1.93,False,medium,3,https://online.nojima.co.jp/commodity/1/4979966573810/
9,ELSONIC ES-ACF02,ES-ACF02,,ノジマオンライン,2618,2034,1500,4,,0,1500,600,-1284,-85.6,False,medium,4,https://online.nojima.co.jp/commodity/1/2531445556015/
10,シロカ SF-W251,SF-W251,,ノジマオンライン,8522,7300,3300,3,13040,6,3300,600,-4930,-149.39,False,high,9,https://online.nojima.co.jp/commodity/1/4589919849383/
11,YAMAZEN YWT-E302-W,YWT-E302-W,,ノジマオンライン,3980,3167,4750,1,5480,3,4750,600,508,10.69,True,medium,4,https://online.nojima.co.jp/commodity/1/4550533262957/
12,YAMAZEN RLX-CP031-W,RLX-CP031-W,,ノジマオンライン,5447,4502,6000,1,7342,4,6000,600,298,4.97,False,high,5,https://online.nojima.co.jp/commodity/1/4550533270259/
13,YAMAZEN YHX-BED351-W,YHX-BED351-W,,ノジマオンライン,8980,7717,8000,1,,0,8000,600,-1117,-13.96,False,low,1,https://online.nojima.co.jp/commodity/1/4550533145748/
14,ツインバード EF-J951W,EF-J951W,,ノジマオンライン,13000,11375,11000,1,15940,6,11000,600,-2075,-18.86,False,high,7,https://online.nojima.co.jp/commodity/1/4975058995119/
15,TOSHIBA TF30DL29,TF30DL29,,ノジマオンライン,19580,17363,,0,14092,6,14092,600,-5280,-37.47,False,high,6,https://online.nojima.co.jp/commodity/1/4904530144356/
16,コイズミ KLF30254H,KLF30254H,,ノジマオンライン,4670,3795,,0,6162,2,6162,600,1151,18.68,False,low,2,https://online.nojima.co.jp/commodity/1/4981747083975/
18,MAX50%OFFクーポン Lafuture ネッククーラー 冷却プレート ネックファン 首掛け扇風機 ペルチェ式 首かけ扇風機 首掛けファン 扇風機 ポータブルクーラー,LAFUTURE,ネッククーラー,LFF PREMIUM(Yahoo代理),12980,11357,2150,120,1500,20,1500,600,-10607,-707.13,False,high,140,https://store.shopping.yahoo.co.jp/premium-interior/lff-lb02.html
