rank,retailer,query,name,model,category,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
70,ノジマ,スマホケース iPhone,iphone17 手帳型 ケース iPhone 16 本革 栃木 レザー 17Pro 17ProMax 17Air 16Pro 16Plus 16ProMax スマホケース 日本製 HUKURO,IPHONE17,iPhone用ケース,8910,7040,2000,120,112111,3,2000,300,-5540,-277.0,False,high,123,https://store.shopping.yahoo.co.jp/jacajaca/hu-ip033.html
110,ヨドバシカメラ,スマホケース iPhone,iphone17 手帳型 ケース iPhone 16 本革 栃木 レザー 17Pro 17ProMax 17Air 16Pro 16Plus 16ProMax スマホケース 日本製 HUKURO,IPHONE17,iPhone用ケース,8910,7040,945,120,57556,2,945,300,-6490,-686.72,False,high,122,https://store.shopping.yahoo.co.jp/jacajaca/hu-ip033.html
150,ケーズデンキ,スマホケース iPhone,iphone17 手帳型 ケース iPhone 16 本革 栃木 レザー 17Pro 17ProMax 17Air 16Pro 16Plus 16ProMax スマホケース 日本製 HUKURO,IPHONE17,iPhone用ケース,8910,7040,2000,120,57556,2,2000,300,-5540,-277.0,False,high,122,https://store.shopping.yahoo.co.jp/jacajaca/hu-ip033.html
80,ヨドバシカメラ,iPhone 15,モバイルバッテリー 30000mAh大容量【2026年新登場】4台同時充電 iPhone17 16充電 ノートパソコン充電 PD110W急速充電 防災グッズ【PL保険加入済み製品・安心】,IPHONE17,モバイルバッテリー,8800,6942,2000,120,57556,2,2000,500,-5642,-282.1,False,high,122,https://store.shopping.yahoo.co.jp/meiseishop/938.html
120,ケーズデンキ,iPhone 15,モバイルバッテリー 30000mAh大容量【2026年新登場】4台同時充電 iPhone17 16充電 ノートパソコン充電 PD110W急速充電 防災グッズ【PL保険加入済み製品・安心】,IPHONE17,モバイルバッテリー,8800,6942,2000,120,57556,2,2000,500,-5642,-282.1,False,high,122,https://store.shopping.yahoo.co.jp/meiseishop/938.html
75,ノジマ,モバイルバッテリー 20000mAh,扇風機 卓上 自動首振り アウトドア 20000mAh 最大50時間使用 卓上扇風機 吊り下げ 防災 キャンプファン サーキュレーター PSE認証済,20000MAH,扇風機本体,8980,7102,4425,120,3280,1,3280,600,-4750,-144.82,False,high,121,https://store.shopping.yahoo.co.jp/livelylife/j302171-1.html
115,ヨドバシカメラ,モバイルバッテリー 20000mAh,扇風機 卓上 自動首振り アウトドア 20000mAh 最大50時間使用 卓上扇風機 吊り下げ 防災 キャンプファン サーキュレーター PSE認証済,20000MAH,扇風機本体,8980,7102,4425,120,3280,1,3280,600,-4750,-144.82,False,high,121,https://store.shopping.yahoo.co.jp/livelylife/j302171-1.html
155,ケーズデンキ,モバイルバッテリー 20000mAh,扇風機 卓上 自動首振り アウトドア 20000mAh 最大50時間使用 卓上扇風機 吊り下げ 防災 キャンプファン サーキュレーター PSE認証済,20000MAH,扇風機本体,8980,7102,4425,120,3280,1,3280,600,-4750,-144.82,False,high,121,https://store.shopping.yahoo.co.jp/livelylife/j302171-1.html
71,ノジマ,スマホケース iPhone,カベーニPRO プロジェクター 小型 家庭用 天井 DVD WiFi Bluetooth HDMI スマホ android iPhoneコンパクト 軽量 モバイルプロジェクター ミニプロジェクター,BLUETOOTH,プロジェクター本体,54800,47882,1275,120,26900,2,1275,600,-47334,-3712.51,False,high,122,https://store.shopping.yahoo.co.jp/rin-spa/kabeni-pro.html
111,ヨドバシカメラ,スマホケース iPhone,カベーニPRO プロジェクター 小型 家庭用 天井 DVD WiFi Bluetooth HDMI スマホ android iPhoneコンパクト 軽量 モバイルプロジェクター ミニプロジェクター,BLUETOOTH,プロジェクター本体,54800,47882,1365,120,26900,2,1365,600,-47254,-3461.79,False,high,122,https://store.shopping.yahoo.co.jp/rin-spa/kabeni-pro.html
