rank,name,category,seller,yahoo_price,coupon_discount,point_return,net_cost,is_clearance,mercari_median,mercari_min,profit_yen,profit_margin_pct,profit_small_post,is_profitable,yahoo_url
46,SIROCA　ハンディファン ストーングレー　SF-H631HS,扇風機本体,コジマYahoo!店,2530,1000,153,1362,False,4550,1300,2133,46.88,2433,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919844296.html
1,サンコネクション 準固体バッテリー搭載 ハンディファン ChibiGEAR ホワイト SUNMHF-01 【864】,扇風機本体,ソフマップ Yahoo!店,4378,1000,338,3006,False,,,,,,False,https://store.shopping.yahoo.co.jp/y-sofmap/4573616740234.html
47,NAKAGAMI　大風量ハンディファン 充電式 台座付 ベージュ　YNG-LHF200-BE,扇風機本体,コジマYahoo!店,2178,1000,118,1048,False,,,,,,False,https://store.shopping.yahoo.co.jp/y-kojima/4580441488804.html
48,ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-H,扇風機本体,コジマYahoo!店,3980,1000,298,2652,False,,,,,,False,https://store.shopping.yahoo.co.jp/y-kojima/4979966573971.html
2,SIROCA ハンディファン  ストーングレー SF-H631HS,扇風機本体,ソフマップ Yahoo!店,2530,1000,153,1362,False,4550,1300,2133,46.88,2433,True,https://store.shopping.yahoo.co.jp/y-sofmap/4589919844296.html
3,多摩電子工業 折り畳みハンディファン　オリオンビールコラボモデル ホワイト,扇風機本体,ソフマップ Yahoo!店,2850,1000,185,1646,False,1200,399,-1166,-97.17,-866,False,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317742.html
4,NAKAGAMI 充電式大風量ハンディファン  ベージュ YNG-LHF200-BE,扇風機本体,ソフマップ Yahoo!店,2178,1000,118,1048,False,,,,,,False,https://store.shopping.yahoo.co.jp/y-sofmap/4580441488804.html
5,多摩電子工業 折り畳みハンディファン オリオンビールコラボモデル グレー,扇風機本体,ソフマップ Yahoo!店,2850,1000,185,1646,False,1080,390,-1274,-117.96,-974,False,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317759.html
7,ファンマックスジャパン ハンディクリーナー CellCube CCVC01-BG コードレス,ハンディークリーナー,ソフマップ Yahoo!店,10610,1000,961,8553,False,,,,,,False,https://store.shopping.yahoo.co.jp/y-sofmap/4582586410597.html
49,SIROCA　ハンディファン サーモンピンク　SF-H631PL,扇風機本体,コジマYahoo!店,2530,1000,153,1362,False,4600,1300,2178,47.35,2478,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919844272.html
50,SIROCA　ハンディファン ティール　SF-H631AG,扇風機本体,コジマYahoo!店,2530,1000,153,1362,False,3565,1300,1246,34.96,1546,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919844265.html
