name,model,yahoo_price,net_cost,old_median,old_profit,mercari_median_new,mercari_count,yahooAuction_median,yahooAuction_count,conservative_median,avg_median,new_profit,new_margin,new_profit_small,yahoo_url,is_profitable_new
SIROCA　ハンディファン ストーングレー　SF-H631HS,SF-H631HS,2530,1362,4550,2133,,0,2530,2,2530,2530,315,12.45,615,https://store.shopping.yahoo.co.jp/y-kojima/4589919844296.html,True
SIROCA ハンディファン  ストーングレー SF-H631HS,SF-H631HS,2530,1362,4550,2133,,0,2530,2,2530,2530,315,12.45,615,https://store.shopping.yahoo.co.jp/y-sofmap/4589919844296.html,True
SIROCA　ハンディファン サーモンピンク　SF-H631PL,SF-H631PL,2530,1362,4600,2178,,0,2508,3,2508,2508,295,11.77,595,https://store.shopping.yahoo.co.jp/y-kojima/4589919844272.html,True
SIROCA　ハンディファン ティール　SF-H631AG,SF-H631AG,2530,1362,3565,1246,,0,2530,2,2530,2530,315,12.45,615,https://store.shopping.yahoo.co.jp/y-kojima/4589919844265.html,True
多摩電子工業　折りたたみハンディファン オリオンビールコラボモデル ネックストラップ付き 卓上 ホワイト　ACP5-ORW,ACP5-ORW,2850,1646,3344,764,3344,2,2850,2,2850,3097,319,11.19,619,https://store.shopping.yahoo.co.jp/y-kojima/4518707317742.html,True
SIROCA　冷却プレート付きハンディファン ダークネイビー　SF-H751-AD,SF-H751-AD,2907,1697,4900,2113,,0,2907,1,2907,2907,319,10.98,619,https://store.shopping.yahoo.co.jp/y-kojima/4589919850167.html,True
SIROCA　冷却プレート付きハンディファン ミルクティー　SF-H751-CH,SF-H751-CH,2907,1697,6500,3553,,0,2976,2,2976,2976,381,12.82,681,https://store.shopping.yahoo.co.jp/y-kojima/4589919850174.html,True
SIROCA　冷却プレート付きハンディファン ホワイト　SF-H751-W,SF-H751-W,2907,1697,9000,5803,2204,2,2399,6,2204,2302,-313,-14.22,-13,https://store.shopping.yahoo.co.jp/y-kojima/4589919850181.html,False
ヤマゼン　サーキュレーター扇風機 DCモーター搭載 (省エネタイプ) 23cm 7枚 PD仕様 リモコン付き グレージュ　RLX-MP023-C,RLX-MP023-C,6980,5322,8699,1907,8666,5,7600,8,7600,8133,918,12.08,1218,https://store.shopping.yahoo.co.jp/y-kojima/4550533145441.html,True
ヤマゼン　サーキュレーター扇風機 DCモーター搭載 (省エネタイプ) 23cm 7枚 PD仕様 リモコン付き ライトグレー　RLX-MP023-H,RLX-MP023-H,6980,5322,8500,1728,7740,2,6980,2,6980,7360,360,5.16,660,https://store.shopping.yahoo.co.jp/y-kojima/4550533145427.html,False
SWITCHBOT　スマートサーキュレーターLite ［DCモーター搭載 /リモコン付き］　W3800511,SWITCHBOT,10980,8882,12000,1318,4140,20,2800,3,2800,3470,-6962,-248.64,-6662,https://store.shopping.yahoo.co.jp/y-kojima/0810150541441.html,False
サンコネクション 準固体バッテリー搭載 ハンディファン ChibiGEAR ホワイト SUNMHF-01 【864】,CHIBIGEAR,4378,3006,,,32089,2,4378,2,4378,18234,334,7.63,634,https://store.shopping.yahoo.co.jp/y-sofmap/4573616740234.html,False
NAKAGAMI　大風量ハンディファン 充電式 台座付 ベージュ　YNG-LHF200-BE,YNG-LHF200-BE,2178,1048,,,,0,2284,6,2284,2284,408,17.85,708,https://store.shopping.yahoo.co.jp/y-kojima/4580441488804.html,True
ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-H,YM-7020HS-H,3980,2652,,,,0,3980,1,3980,3980,330,8.29,630,https://store.shopping.yahoo.co.jp/y-kojima/4979966573971.html,False
多摩電子工業 折り畳みハンディファン　オリオンビールコラボモデル ホワイト,,2850,1646,1200,-1166,3839,1,1800,20,1800,2820,-626,-34.78,-326,https://store.shopping.yahoo.co.jp/y-sofmap/4518707317742.html,False
