rank,name,model,category,seller,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
1,リズム RHYTHM ハンディ扇風機 Silky Wind Mobile 4 青透明色 USB-C充電 2重反転ファン 風量5段階 レザーストラップ付属 限定カラー 9ZF042BZ04,USB-C,,ヨドバシ.com,2480,2232,1160,120,2200,19,1160,600,-1788,-154.14,False,high,139,https://www.yodobashi.com/product/100000001009802127/
2,リズム RHYTHM ハンディ扇風機 Silky Wind Mobile 4 緑透明色 USB-C充電 2重反転ファン 風量5段階 レザーストラップ付属 限定カラー 9ZF042BZ05,USB-C,,ヨドバシ.com,2480,2232,1160,120,1600,19,1160,600,-1788,-154.14,False,high,139,https://www.yodobashi.com/product/100000001009802128/
3,リズム RHYTHM ハンディ扇風機 Silky Wind Mobile 4 茶透明色 USB-C充電 2重反転ファン 風量5段階 レザーストラップ付属 限定カラー 9ZF042BZ06,USB-C,,ヨドバシ.com,2480,2232,1160,120,1600,19,1160,600,-1788,-154.14,False,high,139,https://www.yodobashi.com/product/100000001009802129/
4,リズム RHYTHM ハンディ扇風機 Silky Wind Mobile 4 ダークグレー USB-C充電 2重反転ファン 風量5段階 9ZF042RH82,USB-C,,ヨドバシ.com,2480,2232,1160,120,1600,19,1160,600,-1788,-154.14,False,high,139,https://www.yodobashi.com/product/100000001009753968/
5,リズム RHYTHM ハンディ扇風機 Silky Wind Mobile 4 ライトグレー USB-C充電 2重反転ファン 風量5段階 9ZF042RH08,USB-C,,ヨドバシ.com,2480,2232,1160,120,1600,19,1160,600,-1788,-154.14,False,high,139,https://www.yodobashi.com/product/100000001009753965/
6,リズム RHYTHM ハンディ扇風機 Silky Wind Mobile 4 ブルー USB-C充電 2重反転ファン 風量5段階 9ZF042RH04,USB-C,,ヨドバシ.com,2480,2232,1160,120,1600,19,1160,600,-1788,-154.14,False,high,139,https://www.yodobashi.com/product/100000001009753963/
7,ルミエール Lumiere スマートハンディファン オーロラパープル YSZ-25001OPL,YSZ-25001OPL,,ヨドバシ.com,3980,3582,,0,1575,8,1575,600,-2764,-175.52,False,high,8,https://www.yodobashi.com/product/100000001009081427/
8,リズム RHYTHM ハンディ扇風機 Silky Wind Mobile 4 グレーベージュ USB-C充電 2重反転ファン 風量5段階 9ZF042RH38,USB-C,,ヨドバシ.com,2480,2232,1160,120,1600,19,1160,600,-1788,-154.14,False,high,139,https://www.yodobashi.com/product/100000001009753967/
9,duux デュクス 消臭機能付きタワーファン Elevate グレー DXTF01JP（GY）,DXTF01JP,,ヨドバシ.com,21800,21798,8000,1,21800,1,8000,600,-15198,-189.97,False,low,2,https://www.yodobashi.com/product/100000001009159200/
10,duux デュクス リビング扇風機 WhisperFlexTouch2 DCモーター搭載 リモコン付き セージグリーン DXCF73JP（SA）,WHISPERFLEXTOUCH2,,ヨドバシ.com,21800,21798,,0,25800,2,25800,600,822,3.19,False,low,2,https://www.yodobashi.com/product/100000001009003623/
11,duux デュクス リビング扇風機 WhisperFlexTouch2 DCモーター搭載 リモコン付き ホワイト DXCF71JP（WT）,WHISPERFLEXTOUCH2,,ヨドバシ.com,21800,21798,,0,25800,2,25800,600,822,3.19,False,low,2,https://www.yodobashi.com/product/100000001009003621/
12,duux デュクス 消臭機能付きタワーファン Elevate グレージュ DXTF03JP（GR）,DXTF03JP,,ヨドバシ.com,21800,21798,8000,1,21800,1,8000,600,-15198,-189.97,False,low,2,https://www.yodobashi.com/product/100000001009159201/
13,duux デュクス リビング扇風機 WhisperFlexTouch2 DCモーター搭載 リモコン付き グレージュ DXCF72JP（GR）,WHISPERFLEXTOUCH2,,ヨドバシ.com,21800,21798,,0,25800,2,25800,600,822,3.19,False,low,2,https://www.yodobashi.com/product/100000001009003622/
14,duux デュクス リビング扇風機 WhisperFlexTouch2 DCモーター搭載 リモコン付き グレー DXCF70JP（GY）,WHISPERFLEXTOUCH2,,ヨドバシ.com,21800,21798,,0,25800,2,25800,600,822,3.19,False,low,2,https://www.yodobashi.com/product/100000001009003620/
15,ダイイチ DAIICHI エアーポケット4リバーシブル（幼児用）＋温熱シート pale pink DAP4HPP,DAIICHI,,ヨドバシ.com,17620,17618,3775,120,1565,16,1565,600,-16810,-1074.09,False,high,136,https://www.yodobashi.com/product/100000001009913229/
16,duux デュクス サーキュレーター Solano Cool ＆ Warm DCモーター搭載 リモコン付き ホワイト DXHCF07JP（WT）,DXHCF07JP,,ヨドバシ.com,14800,14799,,0,14800,4,14800,600,-2079,-14.05,False,medium,4,https://www.yodobashi.com/product/100000001009794946/
18,ソニー SONY ウェアラブルサーモデバイス REON POCKET 6（レオンポケット 6） RNPK-6,RNPK-6,,ヨドバシ.com,25300,25047,18000,120,17900,20,17900,600,-9537,-53.28,False,high,140,https://www.yodobashi.com/product/100000001009890713/
19,ソニー SONY ウェアラブルサーモデバイス REON POCKET 6（レオンポケット 6） センシングキット RNPK-6T,RNPK-6T,,ヨドバシ.com,27500,27225,19000,44,23500,20,19000,600,-10725,-56.45,False,high,64,https://www.yodobashi.com/product/100000001009890714/
22,ルミエール Lumiere ツインネッククーラー ホワイト YSZ-25021WH,YSZ-25021WH,,ヨドバシ.com,5980,5382,,0,1610,16,1610,600,-4533,-281.55,False,high,16,https://www.yodobashi.com/product/100000001009081424/
24,ELAiCE エレス アイファン カラーアイス2 ホワイト IF-COIC26WH,IF-COIC26WH,,ヨドバシ.com,4280,3852,,0,5873,10,5873,600,834,14.2,True,high,10,https://www.yodobashi.com/product/100000001009810461/
25,シャープ SHARP サーキュレーター DCモーター搭載 ネイチャーウィング搭載静音モデル プラズマクラスターNEXT搭載 グレー系 PK-18S03-H,PK-18S03-H,,ヨドバシ.com,17430,17428,18400,10,20980,12,18400,600,-1468,-7.98,False,high,22,https://www.yodobashi.com/product/100000001009810068/
26,シャープ SHARP サーキュレーター DCモーター搭載 ネイチャーウィング搭載静音モデル プラズマクラスターNEXT搭載 ブラック系 PK-18S03-B,PK-18S03-B,,ヨドバシ.com,17430,17428,12950,31,13740,20,12950,600,-6373,-49.21,False,high,51,https://www.yodobashi.com/product/100000001009810067/
27,アイリスオーヤマ IRIS OHYAMA ACボール型サーキュレーター KCF-BC151TEC-W,KCF-BC151TEC-W,,ヨドバシ.com,6000,5400,6975,4,13530,1,6975,600,278,3.98,False,high,5,https://www.yodobashi.com/product/100000001008952735/
28,ショップジャパン Shop Japan 冷風扇 ここひえ R8 ホワイト CCH8WHWS,CCH8WHWS,,ヨドバシ.com,6520,5868,8250,18,6500,18,6500,600,-618,-9.51,False,high,36,https://www.yodobashi.com/product/100000001009818348/
29,ショップジャパン Shop Japan 冷風扇 ここひえ タワー T3 CCHTW3WS,CCHTW3WS,,ヨドバシ.com,14250,14249,16500,3,15000,3,15000,600,-1349,-8.99,False,high,6,https://www.yodobashi.com/product/100000001009818354/
30,ショップジャパン Shop Japan 冷風扇 ここひえ R8 ブルーグレー CCH8BGWS,CCH8BGWS,,ヨドバシ.com,6520,5868,8600,13,8300,18,8300,600,1002,12.07,True,high,31,https://www.yodobashi.com/product/100000001009818351/
31,LAViNO ラビーノ LAVINO（ラビーノ） ポータブル冷却ミストファン クールエアーミスト 風量3段階 USB充電 ペルチェ式 ホワイト E868/W,LAVINO,,ヨドバシ.com,14410,14409,19650,120,7800,20,7800,600,-7989,-102.42,False,high,140,https://www.yodobashi.com/product/100000001009090040/
32,ショップジャパン Shop Japan 冷風扇 ここひえ R8 ブラック CCH8BKWS,CCH8BKWS,,ヨドバシ.com,6520,5868,8000,14,8280,18,8000,600,732,9.15,False,high,32,https://www.yodobashi.com/product/100000001009818349/
33,ヤマゼン YAMAZEN 冷風扇 リモコン式 風量3段階 RFCR-D0401-WC,RFCR-D0401-WC,,ヨドバシ.com,10360,10359,,0,6578,6,6578,600,-5039,-76.6,False,high,6,https://www.yodobashi.com/product/100000001009767031/
34,広電 スポットクーラー 移動式クーラー（冷風機）冷風・除湿・送風の3モード搭載 リモコン、キャスター、排熱ダクト＆窓パネル付属 MFP210R,MFP210R,,ヨドバシ.com,9800,8820,11550,2,,0,11550,600,975,8.44,False,low,2,https://www.yodobashi.com/product/100000001009334298/
