rank,name,category,yahoo_price,coupon_discount,point_return,net_cost,mercari_median,mercari_min,profit_yen,profit_margin_pct,is_profitable,yahoo_url
1,ケノン公式 脱毛器 ランキング1位 日本製 光美容器 家庭用 最新型 メンズ 髭 VIO vio 対応 おすすめ 口コミ 産毛 美顔器 コスパ 安い 全身 男女共用 ギフト,除毛、脱毛器,79800,1000,7880,70132,25000,5000,-48232,-192.93,False,https://store.shopping.yahoo.co.jp/mrock/kenon.html
2,法人様限定商品！（個人様対象外です）送料無料！　トヨタ　キャッスル　オイル　ＳＰ　ＧＦ−６Ａ　 ５Ｗ−３０ 　２０Ｌ （税込）ガソリン専用　08880-14103,エンジンオイル,23000,1000,2200,19580,3300,980,-17210,-521.52,False,https://store.shopping.yahoo.co.jp/partsnet/e0001.html
3,ブラザー家庭用ミシン コンピューターミシン PS202X / PS203X / PS205X / PS207X 糸・針・ボビンの特典付！,コンピューターミシン,24850,1000,716,22896,13000,1700,-11796,-90.74,False,https://store.shopping.yahoo.co.jp/mishin-shop/999-ps205s.html
4,ポータブル電源 RIVER 2 Pro 768Wh+160W軽量両面ソーラーパネル リン酸鉄 バッテリー 急速充電 防災 キャンプ EcoFlow エコフロー,自動車用　バッテリー充電器、発電機,132000,1000,13100,116590,35000,31111,-85690,-244.83,False,https://store.shopping.yahoo.co.jp/ecoflow/river600pro.html
5,米  令和7年 プレミアム魚沼コシヒカリ「極み」 玄米 30kg 送料無料,うるち米、玄米,52000,1000,5100,45390,15141,5600,-32363,-213.74,False,https://store.shopping.yahoo.co.jp/komenouka/tokubetsu1.html
6,米 30kg 5kg×6袋セット お米 玄米 ゆめぴりか 北海道産 玄米 白米 分づき米 令和7年産 送料無料,うるち米、玄米,23880,1000,2288,20363,15200,260,-7283,-47.91,False,https://store.shopping.yahoo.co.jp/ginsyariya/gen-012.html
7,羽毛布団 シングル ロング 洗える 掛け布団 冬用 冬 日本製 増量1.2キロ ホワイトダックダウン93％ 暖かい 羽毛 99907316,掛け布団,20999,1000,1000,18799,1640,500,-17923,-1092.87,False,https://store.shopping.yahoo.co.jp/tansu/10119058.html
8,トゥルースリーパー プレミアム シングル 送料無料 True Sleeper マットレス 低反発マットレス ショップジャパン SHOPJAPAN,ノンスプリングマットレス,25080,1000,2408,21431,2611,1990,-19681,-753.78,False,https://store.shopping.yahoo.co.jp/shopjapan/trsp-ssr.html
9,米 令和7年産 米 お米 10kg×3 はえぬき 玄米30kg 山形産 白米・無洗米・分づきにお好み精米 送料無料 当日精米 置き配可,うるち米、玄米,21800,1000,2080,18512,7000,2069,-12812,-183.03,False,https://store.shopping.yahoo.co.jp/miuranouen/haenuki30kg.html
10,"【1,980〜 12,980円】【国産IC搭載（東芝9T25）】USBメモリ USB-C lightning 外付けメモリ 64GB/128GB/256GB/512GB iphone15/16シリーズ対応 2in1usb",USBメモリ,20355,1000,1936,17226,1899,400,-16117,-848.7,False,https://store.shopping.yahoo.co.jp/mslforce/2in1usb.html
11,◆年間ランキング1位◆ ルームランナー MAX16km/h 電動ルームランナー ランニングマシン トレーニングジム ウォーキングマシン トレッドミル,ランニングマシン,37900,1000,3690,32841,22100,17000,-13551,-61.32,False,https://store.shopping.yahoo.co.jp/amj/bw-rr16.html
12,数量限定販売 令和7年産 秋田県産  ミルキープリンセス 20kg(5kg×4袋) 脱気包装★選べる精米【白米 無洗米 】★,うるち米、玄米,25000,1000,2400,21360,11450,1890,-11655,-101.79,False,https://store.shopping.yahoo.co.jp/nowson/n-r-02-30-h-24.html
